Collection,Occurrence Date,Item,Price,From,To,Trade Date
,,Algobots #141,1.35,(0xe99313d965f7684039a6fcfee616e50f5bd56ba6),Ponyo(0x087ee66cc7914c20b49ab2a2de3cfe3b08fb18f2),2021-04-13T02:16:12.383136
,,Algobots #367,0.8899,(0x8491fc2625aeece9abc897ef29544e825a72d66e),unknown_wallet(0xc5d7be4a4e5957baa078201f41d9fd5f21b91b1b),2021-04-13T02:14:07.567680
,,Algobots #142,1.1,(0x48d72b69339c4b9a4d00defeb848c6fb7dbf56de),0x9830(0x9830242fe206809b66f57a150311aa925b96ac59),2021-04-13T01:27:52.888099
,,Algobots #490,1.0,clonakilla(0x02f95f134c8e4eed62b6c3718270ccf6671782a3),dc84646a(0x292d76ef68931cda7c2fb2b580df263dca3d9b9b),2021-04-13T01:26:30.250423
,,Algobots #200,1.0,Tweety_Pie(0xee402489d83e2b22d496910f8c810d35a3ad7b25),dc84646a(0x292d76ef68931cda7c2fb2b580df263dca3d9b9b),2021-04-13T01:23:44.370681
,,Algobots #335,0.9,TaneleerTivan(0xf6bc89cc57e33c4e8053c4d8e63b70bf8c47e1a1),dc84646a(0x292d76ef68931cda7c2fb2b580df263dca3d9b9b),2021-04-13T01:23:06.170390
,,Algobots #19,3.0,tleavez(0xb0fce864564433c5304f8e64198191e9ef5508e3),DandesBidding(0x8d92ef3344fcbe73dfd2abb92c1932c17981ed81),2021-04-13T01:18:22.865733
,,Algobots #36,1.3,unknown_wallet(0xc5d7be4a4e5957baa078201f41d9fd5f21b91b1b),pranksta(0x4322aa46ffed67809862da613725728e2fb8eae3),2021-04-13T00:56:39.850886
,,Algobots #411,0.826875,daydreaminggggg(0x48d0d49c06d18e11d74569a6fa15cb1791121a1b),Balon(0xdd1df994af2fb033b4d5325f6a8b7cf8eff54b4c),2021-04-13T00:28:29.817544
,,Algobots #258,2.5,Jimbo3816(0x541de0606257132e4ca0e34439fcb6675ce2857b),DandesBidding(0x8d92ef3344fcbe73dfd2abb92c1932c17981ed81),2021-04-12T23:48:11.163272
,,Chromie Squiggle #3328,0.64,B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),mirage88(0x7db5255041e2058bc40d0b07c8e36da0de37baff),2021-04-12T23:04:44.269461
,,Algobots #64,1.19,(0xb48e1da05476daf2fa07f90746e1c9fe22105348),DandelionCollects(0xe03a5189dac8182085e4adf66281f679fff2291d),2021-04-12T21:53:35.138843
,,Algobots #71,0.89,DonDonPutin(0xc074e6fe27459284664ae7bf64f927a834fac40e),DandelionCollects(0xe03a5189dac8182085e4adf66281f679fff2291d),2021-04-12T21:29:53.204951
,,Algobots #342,1.5,davidlisser(0x0dda698d2fe2fc1fb8f5b54ee9cd77fbd5a1d08b),DandelionCollects(0xe03a5189dac8182085e4adf66281f679fff2291d),2021-04-12T21:28:08.368180
,,Chromie Squiggle #2204,0.75,(0xef6d69922bc2d038cb508086846524f8011c4a74),(0x4beb3ea53a22a1aed2da862738ed2aa77e8452e7),2021-04-12T20:21:35.242886
,,Archetype #383,1.5,0xb7ba(0xb7bab6c93a0a4f57ccc9440995caccf4fccfbc28),Cosine_X(0x17100d0a90365f775710f19d3c0c27624929df1c),2021-04-12T20:18:20.983418
,,Algobots #374,1.01,TrILLdirt(0x82726d157b2143ea3586e7809f6132d39e40248b),caniss(0x6c3e007377effd74afe237ce3b0aeef969b63c91),2021-04-12T20:14:52.983701
,,Apparitions #103,0.45,DripKing17(0xd1aea4e815b21a7ecd637d13ea5625c901e471f5),bbbbbbbbb(0xbd23ba386baf796b6526e1670d9dddf1f7b15ebb),2021-04-12T20:12:37.465453
,,Apparitions #996,0.3,(0x97a1ca53063a98b2ed27ec1ee32d94fc45281ad1),oeon(0xd28bfaea8c886ff6424141278a928f3cde2741f1),2021-04-12T19:48:58.202258
,,Apparitions #967,0.445,0x6f6(0x6f6101686f5b5c33bb5aac1d9185c9a0ccbdb3cf),philbirt(0xafbcc39f474baf9596c1135522810d5f409dde0f),2021-04-12T19:32:45.536984
,,Chromie Squiggle #7335,0.7,acc(0xa2d50deff9b7d31b6f1f85654c04c4609d08c6e2),jerikl(0x9af8f985d9c37bde376ac3a9b1bf47cff70e7ff8),2021-04-12T19:24:43.387606
,,Inspirals #633,0.08701266739890644,(0x800c2f127de38b282135036b0892d2fb20a11510),Buck_Nekkid(0xf0b6339404ce990a9b9a7b940989b111fc4e268c),2021-04-12T19:09:04.126021
,,Chromie Squiggle #1715,0.9,wsavas(0x403afdf9ea925d3b48e719a44610da1679a57651),merkletreeart2(0xc12469b7ad27706bbe9872a8a45fd9d461ba2342),2021-04-12T18:44:25.897597
,,Apparitions #135,0.35,WhoKnow(0xbe314949e2b9d14c27fa6785323f7cfc9250f92a),v46(0x9fecf056375a973308bb3d6fb6b1c230cfd21456),2021-04-12T17:43:43.643506
,,Apparitions #280,0.32,Dkalo(0xa183576dc4feaaf9b6da0af40d2abef64dee7905),v46(0x9fecf056375a973308bb3d6fb6b1c230cfd21456),2021-04-12T17:38:13.762737
,,Chromie Squiggle #888,2.5,007(0x007880443b595eb375ab6b6566ad9a52630659ff),Jollytime(0xfea6145aec3832672df239639fbc1db273ace241),2021-04-12T16:55:06.428087
,,Algobots #328,0.75,DojiFlip(0x63244b5f1ebcb999ea012da652dffee6653bf8f5),Sweaters(0x2e44a820d77b013afa75766953b2f819e33a19c1),2021-04-12T16:43:01.067386
,,Algobots #119,0.8999,(0x8491fc2625aeece9abc897ef29544e825a72d66e),damn(0x35105eb9fbd3c3f03c77d8bd4f4480fc0cf6b02a),2021-04-12T16:30:59.435126
,,Chromie Squiggle #859,0.5699,B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),Epicurus(0x8918d5b122aa2f9bf84c4d3c2e64c17f560bd77c),2021-04-12T16:17:25.400994
,,Chromie Squiggle #6667,7.5,Zonked(0xebf02c6e12c3ee119abba161c40bfeead0a06b15),ABCDEFGHIJKLMNOPQRSTUVWXYZ(0x38a4d889a1979133fbc1d58f970f0953e3715c26),2021-04-12T14:57:33.545668
,,Algobots #267,1.5,Sweaters(0x2e44a820d77b013afa75766953b2f819e33a19c1),cylu(0x735506da15b78701268f66dbf6c3e8d4058097bf),2021-04-12T14:35:13.146996
,,Algobots #367,0.601,happy_feels(0xae3aba783eb04d67bf9d12838c0e58ae88e5a62e),(0x8491fc2625aeece9abc897ef29544e825a72d66e),2021-04-12T14:26:47.105129
,,720 Minutes #182,0.35,philipplgh(0x6efef34e81fd201edf18c7902948168e9ebb88ae),(0x50c946cb9757d6de490099c0ec185a0dfe29974b),2021-04-12T14:20:47.708421
,,Algobots #119,0.601,wawin(0xd9d23db5632262033ad9f73ac8fbba8d76d00188),(0x8491fc2625aeece9abc897ef29544e825a72d66e),2021-04-12T13:44:00.199457
,,Algobots #316,0.69,(0x9a837bbfcbe792ffface6c9043c6751a0ec12978),metamix(0x7779756dc9f66a5f769f34bf0918d6c180783bd7),2021-04-12T13:09:00.732470
,,Chromie Squiggle #3328,0.452,doc13(0xf2855ef7c734ec1f965915daafe668450e4b8212),B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),2021-04-12T12:04:47.859213
,,Chromie Squiggle #2294,0.452,barberrick(0xb5fc8914a5d453b340cb16c9dda4f8b0c1f32fa0),B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),2021-04-12T12:03:56.209505
,,Chromie Squiggle #4658,0.452,DoubleCherryArt(0x38a7bb509b8075a2635dde36a3aeaeec589356c3),B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),2021-04-12T11:36:34.522161
,,Chromie Squiggle #1634,0.452,Mega_mall(0x06a5881cc41e7ed83fab2c737a45e90a109135a9),B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),2021-04-12T10:37:08.867259
,,Algobots #340,0.88,nftartcards(0xc643c9411a6b489e9833b16631140f42bbfcb6d1),cylu(0x735506da15b78701268f66dbf6c3e8d4058097bf),2021-04-12T10:24:41.961866
,,Chromie Squiggle #520,0.59,large_cat(0x0428b06be02dead6750f81d0e5218118dbd1c7f8),Scottz(0x8841554c6798ade7f54660574c543edf9b2d330a),2021-04-12T08:55:03.764552
,,27-Bit Digital #249,0.18,skta(0xf86eb5215f14af0ec2708653dc8a7c6714648eb1),(0x50c946cb9757d6de490099c0ec185a0dfe29974b),2021-04-12T08:26:22.182491
,,Algobots #430,1.5,Petitcaillou(0x48af2bd40905f8d48d187ecb3c6bbc19ec21c795),DandesBidding(0x8d92ef3344fcbe73dfd2abb92c1932c17981ed81),2021-04-12T07:58:30.851551
,,Algobots #4,1.5,62(0x62223651d6a33d58be70eb9876c3caf7096169ef),cylu(0x735506da15b78701268f66dbf6c3e8d4058097bf),2021-04-12T07:52:55.242981
,,Algobots #470,1.25,plato(0x0dee629a5961f0493a54283b88fc0da49558e27c),cylu(0x735506da15b78701268f66dbf6c3e8d4058097bf),2021-04-12T07:52:34.369906
,,Singularity #65,3.0,(0xc229727295e38177bf90060574ab0b98967933f4),moonrock(0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa),2021-04-12T06:46:08.175862
,,Algobots #87,0.98,PhoebeBridgers(0xa3b40f5f9eb7204ffa7690829b4ad8d19767688f),rubbertoe(0xe1ccd64c452096538b07fc68e89196fb6309e01c),2021-04-12T06:29:10.673034
,,27-Bit Digital #546,0.1,magical_vault(0x3e81ea3a8a2d0b71a85468b02be83d09bfffe476),rubbertoe(0xe1ccd64c452096538b07fc68e89196fb6309e01c),2021-04-12T06:15:49.008542
,,Apparitions #646,0.2,clonakilla(0x02f95f134c8e4eed62b6c3718270ccf6671782a3),(0xf969293ffb9a7a54c9e813fcae79c1de9846e2d5),2021-04-12T05:21:23.625628
,,Apparitions #132,0.38,nameN(0xe43840e77829b2df75959b7107d172060ab6bd87),(0xf969293ffb9a7a54c9e813fcae79c1de9846e2d5),2021-04-12T05:15:40.329327
